"","X","Location","Year","beta.bray.bal","beta.bray.gra","beta.bray","state","Habitat","Island","site.year","bray.ratio","Management"
"1",1,"Cousin Carbonate",2005,0.544283041920818,0.0570708604125317,0.601353902333349,"Shifted","Carbonate","Cousin","Cousin Carbonate.2005",0.905096050443694,"Protected"
"2",2,"Cousin Granite",2005,0.393599390214604,0.130882886702212,0.524482276916816,"Shifted","Granitic","Cousin","Cousin Granite.2005",0.750453175516986,"Protected"
"3",3,"Cousin Patch",2005,0.451278462221161,0.121320582836862,0.572599045058022,"Shifted","Patch","Cousin","Cousin Patch.2005",0.788122973861111,"Protected"
"4",4,"Mahe E Carbonate",2005,0.380449704302632,0.18826313680114,0.568712841103772,"Shifted","Carbonate","Mahe","Mahe E Carbonate.2005",0.668966263473576,"Fished"
"5",5,"Mahe E Granite",2005,0.432849514111121,0.0165416762680549,0.449391190379176,"Shifted","Granitic","Mahe","Mahe E Granite.2005",0.963190920022046,"Fished"
"6",6,"Mahe E Patch",2005,0.288447003090644,0.179602398341258,0.468049401431902,"Recovering","Patch","Mahe","Mahe E Patch.2005",0.616274697090091,"Fished"
"7",7,"Mahe NW Carbonate",2005,0.429846595991332,0.0467955567569816,0.476642152748313,"Recovering","Carbonate","Mahe","Mahe NW Carbonate.2005",0.901822454251772,"Protected"
"8",8,"Mahe NW Granite",2005,0.498433103252088,0.00735278487527006,0.505785888127358,"Recovering","Granitic","Mahe","Mahe NW Granite.2005",0.985462653174265,"Fished"
"9",9,"Mahe NW Patch",2005,0.468096266281227,0.0801306794214609,0.548226945702688,"Recovering","Patch","Mahe","Mahe NW Patch.2005",0.853836663721894,"Fished"
"10",10,"Mahe W Carbonate",2005,0.429868795589246,0.0566292476118401,0.486498043201086,"Recovering","Carbonate","Mahe","Mahe W Carbonate.2005",0.883598200643875,"Fished"
"11",11,"Mahe W Granite",2005,0.434322586646595,0.0614463387700505,0.495768925416645,"Recovering","Granitic","Mahe","Mahe W Granite.2005",0.876058511092823,"Fished"
"12",12,"Mahe W Patch",2005,0.417012667181126,0.200717158519548,0.617729825700674,"Recovering","Patch","Mahe","Mahe W Patch.2005",0.675072903770059,"Fished"
"13",13,"Praslin NE Carbonate",2005,0.479164488977678,0.131069514265196,0.610234003242874,"Shifted","Carbonate","Praslin","Praslin NE Carbonate.2005",0.785214338157701,"Fished"
"14",14,"Praslin NE Granite",2005,0.475021357060879,0.0215814640325826,0.496602821093462,"Recovering","Granitic","Praslin","Praslin NE Granite.2005",0.956541801383523,"Protected"
"15",15,"Praslin NE Patch",2005,0.469463227852383,0.0442658821193698,0.513729109971753,"Recovering","Patch","Praslin","Praslin NE Patch.2005",0.913834195376229,"Protected"
"16",16,"Praslin SW Carbonate",2005,0.583821610758853,0.0616772325846943,0.645498843343547,"Shifted","Carbonate","Praslin","Praslin SW Carbonate.2005",0.904450281792576,"Fished"
"17",17,"Praslin SW Granite",2005,0.439655149041529,0.0839559888041562,0.523611137845685,"Recovering","Granitic","Praslin","Praslin SW Granite.2005",0.839659658215867,"Fished"
"18",18,"Praslin SW Patch",2005,0.33487504776447,0.195788112701617,0.530663160466088,"Shifted","Patch","Praslin","Praslin SW Patch.2005",0.631050113730046,"Fished"
"19",19,"Ste Anne Carbonate",2005,0.472856316584293,0.0903346986753389,0.563191015259632,"Shifted","Carbonate","Ste Anne","Ste Anne Carbonate.2005",0.839602024485965,"Protected"
"20",20,"Ste Anne Granite",2005,0.311377650008678,0.192761379779525,0.504139029788203,"Recovering","Granitic","Ste Anne","Ste Anne Granite.2005",0.617642419273692,"Protected"
